コード,銘柄名,市場,現在値,前日比(%),PER(株価収益率)(倍),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),売上高変化率(%),ティッカー
1430,ファーストコーポレーション,東S,891,+3.0(+0.34%),11.26,1.26,11.5,11.52,1430.T
1435,ｒｏｂｏｔ　ｈｏｍｅ,東S,179,+5.0(+2.87%),17.62,1.73,10.2,52.55,1435.T
2418,ツカダ・グローバルＨＬＤＧ,東S,569,+10.0(+1.79%),5.27,0.84,17.3,10.56,2418.T
3248,アールエイジ,東S,790,+4.0(+0.51%),4.74,0.55,12.2,37.35,3248.T
3920,アイビーシー,東S,735,-13.0(-1.74%),16.15,2.04,13.2,14.93,3920.T
5721,エス・サイエンス,東S,25,+0.0(+0.00%),8.31,1.18,15.1,13.51,5721.T
6776,天昇電気工業,東S,275,+5.0(+1.85%),4.93,0.51,11.1,12.58,6776.T
8023,大興電子通信,東S,919,+1.0(+0.11%),6.57,1.02,17.1,15.32,8023.T
8115,ムーンバット,東S,999,+8.0(+0.81%),8.38,0.9,11.3,10.74,8115.T
8737,あかつき本社,東S,514,+7.0(+1.38%),6.21,0.97,16.7,18.67,8737.T
8996,ハウスフリーダム,東S,810,+8.0(+1.00%),6.62,0.92,14.7,22.91,8996.T
9262,シルバーライフ,東S,766,+3.0(+0.39%),12.44,1.3,10.8,10.5,9262.T
