"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"1418","インターライフＨＬＤＧ","東S","340","-5.0(-1.45%)","13.70","1.45","11.10","10.17"
"1430","ファーストコーポレーション","東S","891","+3.0(+0.34%)","11.26","1.26","11.50","11.52"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","933","+10.0(+1.08%)","6.36","0.97","16.50","33.32"
"1435","ｒｏｂｏｔ　ｈｏｍｅ","東S","179","+5.0(+2.87%)","17.62","1.73","10.20","52.55"
"1717","明豊ファシリティワークス","東S","943","+8.0(+0.86%)","13.81","2.15","16.30","10.59"
"2112","塩水港精糖","東S","363","-6.0(-1.63%)","6.73","0.72","11.90","12.88"
"2139","中広","東S","445","+1.0(+0.23%)","15.70","1.56","10.20","20.20"
"2196","エスクリ","東S","200","+4.0(+2.04%)","8.45","0.83","10.20","10.40"
"2304","ＣＳＳ　ＨＬＤＧ","東S","895","+10.0(+1.13%)","10.42","1.67","17.10","18.87"
"2354","ＹＥ　ＤＩＧＩＴＡＬ","東S","610","-2.0(-0.33%)","10.13","1.80","20.80","20.77"
"2418","ツカダ・グローバルＨＬＤＧ","東S","569","+10.0(+1.79%)","5.27","0.84","17.30","10.56"
"2652","まんだらけ","東S","359","+4.0(+1.13%)","8.60","1.09","13.40","12.59"
"2788","アップルインターナショナル","東S","399","+1.0(+0.25%)","4.28","0.53","13.30","41.68"
"2789","カルラ","東S","447","-36.0(-7.45%)","6.12","1.56","29.40","13.23"
"3181","買取王国","東S","687","-14.0(-2.00%)","6.91","0.91","14.00","14.89"
"3223","エスエルディー","東S","905","-59.0(-6.12%)","9.72","-3.40","56.80","16.02"
"3236","プロパスト","東S","162","-1.0(-0.61%)","3.03","0.53","19.10","16.42"
"3241","ウィル","東S","445","+6.0(+1.37%)","7.18","1.04","15.10","14.38"
"3242","アーバネットコーポレーション","東S","434","+4.0(+0.93%)","8.01","0.93","11.90","38.00"
"3248","アールエイジ","東S","790","+4.0(+0.51%)","4.74","0.55","12.20","37.35"
"3264","アスコット","東S","259","+0.0(+0.00%)","11.13","1.19","11.30","90.87"
"3347","トラスト","東S","287","-3.0(-1.03%)","6.66","0.77","12.20","19.85"
"3392","デリカフーズＨＬＤＧ","東S","511","+1.0(+0.20%)","8.20","0.95","12.30","10.22"
"3540","歯愛メディカル","東S","819","-12.0(-1.44%)","6.53","1.57","27.20","47.92"
"3744","サイオス","東S","370","+1.0(+0.27%)","9.12","2.09","26.80","29.40"
"3760","ケイブ","東S","934","+10.0(+1.08%)","3.88","0.93","34.90","76.27"
"3772","ウェルス・マネジメント","東S","989","+13.0(+1.33%)","10.21","1.02","10.60","93.41"
"3848","データ・アプリケーション","東S","835","+7.0(+0.85%)","10.38","1.12","11.50","16.93"
"3920","アイビーシー","東S","735","-13.0(-1.74%)","16.15","2.04","13.20","14.93"
"3933","チエル","東S","645","-7.0(-1.07%)","13.76","1.77","13.40","19.52"
"3935","エディア","東S","460","-12.0(-2.54%)","18.78","2.47","14.10","18.71"
"3940","ノムラシステムコーポレーション","東S","122","+0.0(+0.00%)","15.33","1.74","11.60","11.17"
"3988","ＳＹＳ　ＨＬＤＧ","東S","537","+0.0(+0.00%)","11.90","1.67","15.00","17.86"
"4174","アピリッツ","東S","810","+3.0(+0.37%)","8.59","1.35","17.00","15.09"
"4198","テンダ","東S","987","-7.0(-0.70%)","18.96","2.53","14.00","22.20"
"4386","ＳＩＧグループ","東S","697","+2.0(+0.29%)","16.47","1.91","12.10","27.47"
"4420","イーソル","東S","611","+12.0(+2.00%)","13.36","2.33","16.80","23.68"
"4492","ゼネテック","東S","502","-5.0(-0.99%)","13.77","2.58","20.30","21.89"
"4664","アール・エス・シー","東S","633","+9.0(+1.44%)","7.53","0.90","12.40","34.33"
"4712","ＫｅｙＨｏｌｄｅｒ","東S","720","+2.0(+0.28%)","5.41","0.62","11.90","13.00"
"4736","日本ラッド","東S","797","+5.0(+0.63%)","12.65","1.42","11.80","12.07"
"4767","テー・オー・ダブリュー","東S","314","+5.0(+1.62%)","9.05","1.37","15.90","48.66"
"5721","エス・サイエンス","東S","25","+0.0(+0.00%)","8.31","1.18","15.10","13.51"
"6037","楽待","東S","725","-8.0(-1.09%)","19.41","2.78","15.30","12.96"
