"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"138A","光フードサービス","東G","2223","-24.0(-1.07%)","20.28","1.77","12.50","15.36"
"143A","イシン","東G","891","-21.0(-2.30%)","11.34","1.73","16.60","11.51"
"155A","情報戦略テクノロジー","東G","439","-9.0(-2.01%)","15.83","2.59","22.20","10.37"
"157A","グリーンモンスター","東G","525","-4.0(-0.76%)","8.85","1.14","14.80","14.37"
"205A","ロゴスＨＬＤＧ","東G","1162","-6.0(-0.51%)","5.04","1.47","28.30","13.16"
"2173","博展","東G","541","-1.0(-0.18%)","8.38","2.51","33.30","43.46"
"228A","オプロ","東G","1175","-25.0(-2.08%)","14.13","2.49","24.40","30.07"
"244A","グロースエクスパートナーズ","東G","1511","-89.0(-5.56%)","9.82","2.15","24.80","18.36"
"2981","ランディックス","東G","2770","-46.0(-1.63%)","9.92","1.10","11.50","13.48"
"2986","ＬＡ　ＨＬＤＧ","東G","6670","+80.0(+1.21%)","8.78","2.27","28.60","41.93"
"3300","アンビション　ＤＸ　ＨＬＤＧ","東G","1913","-4.0(-0.21%)","8.03","2.17","30.60","16.08"
"3558","ジェイドグループ","東G","1382","-63.0(-4.36%)","15.06","2.39","16.60","27.63"
"3566","ユニフォームネクスト","東G","506","+2.0(+0.40%)","15.57","1.52","10.10","12.62"
"3623","ビリングシステム","東G","1176","-24.0(-2.00%)","18.18","2.61","15.30","11.52"
"3652","ディジタルメディアプロ","東G","1717","-76.0(-4.24%)","16.30","1.56","10.10","29.88"
"3900","クラウドワークス","東G","1165","-15.0(-1.27%)","19.98","2.55","14.40","29.54"
"3967","エルテス","東G","722","-11.0(-1.50%)","16.93","1.67","10.60","39.48"
"4060","ｒａｋｕｍｏ","東G","810","-8.0(-0.98%)","18.51","2.88","16.90","11.42"
"4076","シイエヌエス","東G","1401","-2.0(-0.14%)","8.83","1.11","13.20","11.15"
"4173","ＷＡＣＵＬ","東G","305","-5.0(-1.61%)","10.85","1.78","18.10","34.66"
"4176","ココナラ","東G","297","-3.0(-1.00%)","29.09","2.90","11.80","40.81"
"4261","アジアクエスト","東G","2461","-41.0(-1.64%)","12.24","2.15","19.10","29.35"
"4262","ニフティライフスタイル","東G","1165","-43.0(-3.56%)","11.73","1.40","12.60","18.35"
"4270","ＢｅｅＸ","東G","2757","-29.0(-1.04%)","13.90","2.93","23.60","33.70"
"4316","ビーマップ","東G","350","-11.0(-3.05%)","7.26","1.65","32.30","53.39"
"4372","ユミルリンク","東G","1455","+24.0(+1.68%)","11.87","1.96","16.50","15.30"
"4429","リックソフト","東G","851","+11.0(+1.31%)","14.38","1.40","10.30","33.22"
"4437","ｇｏｏｄｄａｙｓ　ＨＬＤＧ","東G","656","+0.0(+0.00%)","14.71","1.64","11.70","16.55"
"4450","パワーソリューションズ","東G","1345","+0.0(+0.00%)","11.59","1.25","11.30","13.77"
"4486","ユナイトアンドグロウ","東G","1129","-10.0(-0.88%)","11.53","2.18","20.30","11.22"
"4488","ＡＩ　ｉｎｓｉｄｅ","東G","3125","-70.0(-2.19%)","22.97","2.49","11.50","10.21"
