"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"1377","サカタのタネ","東P","3400","-50.0(-1.45%)","9.31","0.93","10.90","14.77"
"1780","ヤマウラ","東P","1287","-23.0(-1.76%)","8.18","1.19","15.80","19.64"
"1812","鹿島建設","東P","3114.0","-17.0(-0.54%)","13.04","1.24","10.20","11.44"
"1871","ピーエス・コンストラクション","東P","1436","-109.0(-7.06%)","13.23","1.28","10.10","18.26"
"1879","新日本建設","東P","1499","+37.0(+2.53%)","7.14","0.78","11.40","17.40"
"1885","東亜建設工業","東P","1342","-13.0(-0.96%)","10.51","1.11","11.40","32.91"
"1888","若築建設","東P","3575","-20.0(-0.56%)","8.95","0.99","11.70","12.99"
"1893","五洋建設","東P","655.6","-14.3(-2.13%)","10.45","1.08","10.80","23.00"
"1911","住友林業","東P","4557.0","-41.0(-0.89%)","8.00","1.01","13.90","18.49"
"1952","新日本空調","東P","1652","-31.0(-1.84%)","10.65","1.15","11.60","14.03"
"1959","九電工","東P","4498.0","-23.0(-0.51%)","11.36","1.10","10.20","18.51"
"1975","朝日工業社","東P","1947","+4.0(+0.21%)","13.49","1.29","10.00","14.35"
"1979","大氣社","東P","4375","-145.0(-3.21%)","9.27","1.00","11.60","36.67"
"2154","オープンアップグループ","東P","1842","-6.0(-0.32%)","13.57","2.18","17.00","14.95"
"2157","コシダカＨＬＤＧ","東P","1038","+1.0(+0.10%)","12.55","2.77","24.20","15.80"
"2175","エス・エム・エス","東P","1153.0","-47.0(-3.92%)","13.90","2.26","17.60","18.19"
"2301","学情","東P","2015","-19.0(-0.93%)","12.53","1.90","16.10","22.15"
"2335","キューブシステム","東P","1007","-2.0(-0.20%)","14.31","1.51","10.80","10.39"
"2337","いちご","東P","359","-2.0(-0.55%)","13.35","1.50","11.70","21.52"
"2429","ワールドＨＬＤＧ","東P","2026","-24.0(-1.17%)","7.23","0.81","11.80","13.33"
"262A","インターメスティック","東P","1655","-37.0(-2.19%)","10.94","2.20","23.90","12.46"
"2670","エービーシー・マート","東P","2877.5","-10.0(-0.35%)","17.81","2.10","12.30","18.66"
"2674","ハードオフコーポレーション","東P","1861","-37.0(-1.95%)","12.36","1.53","13.00","11.33"
"2681","ゲオＨＬＤＧ","東P","1692","-24.0(-1.40%)","6.15","0.77","13.30","14.99"
"2685","アダストリア","東P","2901","-35.0(-1.19%)","9.74","1.87","20.90","13.62"
"268A","リガク・ＨＬＤＧ","東P","1072","-54.0(-4.80%)","17.74","2.95","18.50","13.48"
"2742","ハローズ","東P","3965","-10.0(-0.25%)","9.86","1.35","14.70","12.26"
"2791","大黒天物産","東P","6480","-330.0(-4.85%)","14.32","1.63","12.00","11.49"
"2811","カゴメ","東P","2899.5","-40.5(-1.38%)","10.41","1.46","15.70","36.55"
"2875","東洋水産","東P","8890.0","-184.0(-2.03%)","16.31","1.96","13.00","12.21"
"2914","日本たばこ産業","東P","3750.0","+3.0(+0.08%)","14.37","1.64","11.80","10.86"
"2975","スター・マイカ・ＨＬＤＧ","東P","900","+16.0(+1.81%)","9.68","1.17","12.80","14.27"
"3003","ヒューリック","東P","1402.0","-2.0(-0.14%)","10.43","1.28","12.80","32.54"
"3116","トヨタ紡織","東P","2009.0","-49.0(-2.38%)","6.44","0.80","13.60","21.79"
"3148","クリエイトＳＤ　ＨＬＤＧ","東P","2807","-12.0(-0.43%)","13.02","1.38","11.10","10.86"
"3180","ビューティガレージ","東P","1390","-10.0(-0.71%)","16.20","2.53","16.70","12.91"
"3182","オイシックス・ラ・大地","東P","1265","-5.0(-0.39%)","11.22","1.59","15.40","28.85"
"3186","ネクステージ","東P","1487","-33.0(-2.17%)","14.88","1.64","11.50","19.27"
"3221","ヨシックスＨＬＤＧ","東P","2832","-6.0(-0.21%)","16.18","2.91","19.40","23.57"
"3231","野村不動産ＨＬＤＧ","東P","4274.0","+22.0(+0.52%)","10.90","1.07","10.10","12.22"
"3252","地主","東P","2030","-62.0(-2.96%)","6.06","0.94","16.00","80.61"
"3288","オープンハウスグループ","東P","5490.0","+18.0(+0.33%)","7.02","1.38","21.10","12.83"
"3349","コスモス薬品","東P","7043.0","-259.0(-3.55%)","22.82","2.41","11.10","16.59"
"3360","シップヘルスケアＨＬＤＧ","東P","1928.5","-8.5(-0.44%)","13.20","1.30","10.30","10.26"
"3371","ソフトクリエイトＨＬＤＧ","東P","2067","+51.0(+2.53%)","15.91","2.72","19.40","15.08"
"3431","宮地エンジニアリンググループ","東P","1809","-26.0(-1.42%)","11.31","1.24","11.60","15.07"
