"コード","銘柄名","市場","現在値","前日比(%)"
"130A","Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ","東G","817","-13.0(-1.57%)"
"135A","ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ","東G","2111","-68.0(-3.12%)"
"137A","Ｃｏｃｏｌｉｖｅ","東G","1137","-78.0(-6.42%)"
"138A","光フードサービス","東G","2223","-24.0(-1.07%)"
"1401","エムビーエス","東G","703","-11.0(-1.54%)"
"141A","トライアルＨＬＤＧ","東G","1812","-70.0(-3.72%)"
"142A","ジンジブ","東G","594","+8.0(+1.37%)"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G","677","+3.0(+0.45%)"
"1436","グリーンエナジー＆カンパニー","東G","2503","+23.0(+0.93%)"
"143A","イシン","東G","891","-21.0(-2.30%)"
"1444","ニッソウ","東G","2600","+1.0(+0.04%)"
"1447","ＳＡＡＦＨＬＤＧ","東G","321","+4.0(+1.26%)"
"145A","Ｌ　ｉｓ　Ｂ","東G","628","-10.0(-1.57%)"
"147A","ソラコム","東G","922","-29.0(-3.05%)"
"148A","ハッチ・ワーク","東G","1587","-33.0(-2.04%)"
"149A","シンカ","東G","840","-13.0(-1.52%)"
"150A","ＪＳＨ","東G","593","-1.0(-0.17%)"
"151A","ダイブ","東G","944","+52.0(+5.83%)"
"153A","カウリス","東G","1273","-29.0(-2.23%)"
"155A","情報戦略テクノロジー","東G","439","-9.0(-2.01%)"
"156A","マテリアルグループ","東G","646","-9.0(-1.37%)"
"157A","グリーンモンスター","東G","525","-4.0(-0.76%)"
"165A","ＳＢＩレオスひふみ","東G","203","-5.0(-2.40%)"
"166A","タスキＨＬＤＧ","東G","645","-11.0(-1.68%)"
"168A","イタミアート","東G","1002","-27.0(-2.62%)"
"173A","ハンモック","東G","1440","-5.0(-0.35%)"
"175A","Ｗｉｌｌ　Ｓｍａｒｔ","東G","830","-18.0(-2.12%)"
"176A","レジル","東G","2365","-2.0(-0.08%)"
"177A","コージンバイオ","東G","1693","-57.0(-3.26%)"
"184A","学びエイド","東G","492","-7.0(-1.40%)"
"186A","アストロスケールＨＬＤＧ","東G","832","+37.0(+4.65%)"
"189A","Ｄ＆Ｍカンパニー","東G","807","-9.0(-1.10%)"
"190A","Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ","東G","244","-16.0(-6.15%)"
"192A","インテグループ","東G","3730","-70.0(-1.84%)"
"194A","ＷＯＬＶＥＳ　ＨＡＮＤ","東G","714","-4.0(-0.56%)"
