"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"1377","サカタのタネ","東P","3400","-50.0(-1.45%)","9.31","0.93","10.90","14.77"
"138A","光フードサービス","東G","2223","-24.0(-1.07%)","20.28","1.77","12.50","15.36"
"1407","ウエストＨＬＤＧ","東S","1578","-100.0(-5.96%)","9.42","1.88","20.90","15.22"
"1418","インターライフＨＬＤＧ","東S","336","-4.0(-1.18%)","13.54","1.43","11.10","10.17"
"1430","ファーストコーポレーション","東S","889","-2.0(-0.22%)","11.23","1.25","11.50","11.52"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","914","-19.0(-2.04%)","6.23","0.95","16.50","33.32"
"1435","ｒｏｂｏｔ　ｈｏｍｅ","東S","173","-6.0(-3.35%)","17.03","1.67","10.20","52.55"
"143A","イシン","東G","891","-21.0(-2.30%)","11.34","1.73","16.60","11.51"
"146A","コロンビア・ワークス","東S","4035","+5.0(+0.12%)","5.83","1.16","23.20","45.01"
"155A","情報戦略テクノロジー","東G","439","-9.0(-2.01%)","15.83","2.59","22.20","10.37"
"157A","グリーンモンスター","東G","525","-4.0(-0.76%)","8.85","1.14","14.80","14.37"
"160A","アズパートナーズ","東S","1825","-9.0(-0.49%)","9.81","2.62","26.60","34.17"
"1712","ダイセキ環境ソリューション","東S","1176","-37.0(-3.05%)","11.09","1.20","11.30","47.16"
"1717","明豊ファシリティワークス","東S","932","-11.0(-1.17%)","13.65","2.13","16.30","10.59"
"1723","日本電技","東S","3730","-85.0(-2.23%)","12.73","1.72","14.30","13.37"
"1780","ヤマウラ","東P","1287","-23.0(-1.76%)","8.18","1.19","15.80","19.64"
"1798","守谷商会","東S","3550","+0.0(+0.00%)","4.85","0.54","11.80","11.21"
"1812","鹿島建設","東P","3114.0","-17.0(-0.54%)","13.04","1.24","10.20","11.44"
"1871","ピーエス・コンストラクション","東P","1436","-109.0(-7.06%)","13.23","1.28","10.10","18.26"
"1879","新日本建設","東P","1499","+37.0(+2.53%)","7.14","0.78","11.40","17.40"
"1885","東亜建設工業","東P","1342","-13.0(-0.96%)","10.51","1.11","11.40","32.91"
"1888","若築建設","東P","3575","-20.0(-0.56%)","8.95","0.99","11.70","12.99"
