"コード","銘柄名","市場","現在値","前日比(%)"
"1301","極洋","東P","4120","-15.0(-0.36%)"
"1305","ｉＦＴＯＰＩＸ（年１回決算型）","東ETF","2851.0","-52.5(-1.81%)"
"1306","ＮＦ　ＴＯＰＩＸ連動型上場投信","東ETF","2813.5","-61.0(-2.12%)"
"1308","上場インデックスファンドＴＯＰ","東ETF","2782.0","-60.0(-2.11%)"
"1309","上海株指数・上証５０連動型上場","東ETF","43360.0","-440.0(-1.00%)"
"130A","Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ","東G","817","-13.0(-1.57%)"
"1311","ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０","東ETF","1411.0","-29.0(-2.01%)"
"1319","ＮＦ日経３００株価指数連動型","東ETF","520.0","-12.3(-2.31%)"
"1320","ｉＦ日経２２５（年１回決算型）","東ETF","38520.0","-1,080.0(-2.73%)"
"1321","ＮＦ日経２２５連動型上場投信","東ETF","38640.0","-1,120.0(-2.82%)"
"1322","中国Ａ株パンダＣＳＩ３００","東ETF","8500.0","-13.0(-0.15%)"
"1325","ＮＦボベスパ連動型上場投信","東ETF","191.9","-2.9(-1.49%)"
"1326","ＳＰＤＲゴールド・シェア","東ETF","39670.0","-240.0(-0.60%)"
"1328","ＮＦ金価格連動型上場投資信託","東ETF","10395.0","-70.0(-0.67%)"
"1329","ｉＳコア　日経２２５","東ETF","38390.0","-1,150.0(-2.91%)"
"1330","上場インデックスファンド２２５","東ETF","38700.0","-1,130.0(-2.84%)"
"1332","ニッスイ","東P","857.5","-6.5(-0.75%)"
"1333","マルハニチロ","東P","3124.0","+10.0(+0.32%)"
"133A","グローバルＸ　超短期米国債","東ETF","1018.0","+3.0(+0.30%)"
"1343","ＮＦ東証ＲＥＩＴ連動型投信","東ETF","1824.0","-14.0(-0.76%)"
"1345","上場Ｊリート隔月分配型","東ETF","1724.5","-15.5(-0.89%)"
"1346","ＭＡＸＩＳ　日経２２５上場投信","東ETF","38480.0","-1,040.0(-2.63%)"
"1348","ＭＡＸＩＳ　トピックス上場投信","東ETF","2779.0","-54.5(-1.92%)"
"1349","ＡＢＦ汎アジア債券","東ETF","16175.0","-220.0(-1.34%)"
"1356","ＴＯＰＩＸベア２倍上場投信","東ETF","328.3","+11.5(+3.63%)"
"1357","ＮＦ日経平均ダブルインバース","東ETF","13000.0","+735.0(+5.99%)"
"1358","上場日経レバレッジ指数","東ETF","46000.0","-2,370.0(-4.90%)"
"135A","ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ","東G","2111","-68.0(-3.12%)"
"1360","日経平均ベア２倍上場投信","東ETF","319.2","+17.5(+5.80%)"
"1364","ｉシェアーズ　ＪＰＸ日経４００","東ETF","24760.0","-460.0(-1.82%)"
"1365","ｉＦ日経平均レバレッジ","東ETF","37330.0","-2,330.0(-5.87%)"
"1366","ｉＦ日経平均ダブルインバース","東ETF","326.0","+18.0(+5.84%)"
"1367","ｉＦＴＰＸレバレッジ（２倍）","東ETF","34700.0","-1,270.0(-3.53%)"
"1368","ｉＦＴＰＸダブルインバース","東ETF","474.0","+17.0(+3.72%)"
"1369","ＤＩＡＭ　ＥＴＦ　日経２２５","東ETF","37630.0","-540.0(-1.41%)"
"1375","雪国まいたけ","東P","1185","-20.0(-1.66%)"
"1376","カネコ種苗","東S","1396","-14.0(-0.99%)"
"1377","サカタのタネ","東P","3400","-50.0(-1.45%)"
"1379","ホクト","東P","1899","-23.0(-1.20%)"
"137A","Ｃｏｃｏｌｉｖｅ","東G","1137","-78.0(-6.42%)"
"1380","秋川牧園","東S","1003","-12.0(-1.18%)"
"1381","アクシーズ","東S","2772","+22.0(+0.80%)"
"1382","ホーブ","東S","1764","-46.0(-2.54%)"
"1383","ベルグアース","東S","3190","-15.0(-0.47%)"
"1384","ホクリヨウ","東S","1433","+0.0(+0.00%)"
"138A","光フードサービス","東G","2223","-24.0(-1.07%)"
"1397","ＳＭＤＡＭ日経２２５","東ETF","37640.0","-930.0(-2.41%)"
"1398","ＳＭＤＡＭ東証ＲＥＩＴ指数","東ETF","1766.5","-4.0(-0.23%)"
"1399","上場ＭＳＣＩ日本株高配当低ボラ","東ETF","2187.0","-17.5(-0.79%)"
"1401","エムビーエス","東G","703","-11.0(-1.54%)"
"1407","ウエストＨＬＤＧ","東S","1578","-100.0(-5.96%)"
"140A","ｉＦ米国１０年国債先物インバ","東ETF","1987.0","-6.0(-0.30%)"
"1414","ショーボンドＨＬＤＧ","東P","4692.0","-83.0(-1.74%)"
"1417","ミライト・ワン","東P","2223.0","-23.5(-1.05%)"
"1418","インターライフＨＬＤＧ","東S","336","-4.0(-1.18%)"
"1419","タマホーム","東P","3345","-75.0(-2.19%)"
"141A","トライアルＨＬＤＧ","東G","1812","-70.0(-3.72%)"
"1420","サンヨーホームズ","東S","730","-3.0(-0.41%)"
"1429","日本アクア","東P","734","+0.0(+0.00%)"
"142A","ジンジブ","東G","594","+8.0(+1.37%)"
"1430","ファーストコーポレーション","東S","889","-2.0(-0.22%)"
"1431","Ｌｉｂ　Ｗｏｒｋ","東G","677","+3.0(+0.45%)"
"1433","ベステラ","東P","930","-27.0(-2.82%)"
"1434","ＪＥＳＣＯ　ＨＬＤＧ","東S","914","-19.0(-2.04%)"
