コード,銘柄名,市場,現在値,前日比(%),PER(株価収益率)(倍),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),売上高変化率(%),ティッカー
1430,ファーストコーポレーション,東S,889,-2.0(-0.22%),11.23,1.25,11.5,11.52,1430.T
1435,ｒｏｂｏｔ　ｈｏｍｅ,東S,173,-6.0(-3.35%),17.03,1.67,10.2,52.55,1435.T
1812,鹿島建設,東P,3114.0,-17.0(-0.54%),13.04,1.24,10.2,11.44,1812.T
2418,ツカダ・グローバルＨＬＤＧ,東S,564,-5.0(-0.88%),5.23,0.83,17.3,10.56,2418.T
268A,リガク・ＨＬＤＧ,東P,1072,-54.0(-4.80%),17.74,2.95,18.5,13.48,268A.T
2975,スター・マイカ・ＨＬＤＧ,東P,900,+16.0(+1.81%),9.68,1.17,12.8,14.27,2975.T
2986,ＬＡ　ＨＬＤＧ,東G,6670,+80.0(+1.21%),8.78,2.27,28.6,41.93,2986.T
3003,ヒューリック,東P,1402.0,-2.0(-0.14%),10.43,1.28,12.8,32.54,3003.T
3231,野村不動産ＨＬＤＧ,東P,4274.0,+22.0(+0.52%),10.9,1.07,10.1,12.22,3231.T
3248,アールエイジ,東S,787,-3.0(-0.38%),4.72,0.55,12.2,37.35,3248.T
3299,ムゲンエステート,東S,2045,+9.0(+0.44%),7.88,1.48,20.4,20.42,3299.T
3486,グローバル・リンク・マネジメン,東P,3595,+0.0(+0.00%),8.43,2.48,33.3,56.29,3486.T
3920,アイビーシー,東S,725,-10.0(-1.36%),15.93,2.01,13.2,14.93,3920.T
3963,シンクロ・フード,東P,413,+8.0(+1.98%),15.65,2.58,18.0,22.95,3963.T
4251,恵和,東P,1202,-27.0(-2.20%),8.3,1.01,12.9,20.26,4251.T
5261,リソルＨＬＤＧ,東P,5520,-60.0(-1.08%),21.72,2.1,10.0,16.57,5261.T
5285,ヤマックス,東S,1629,-8.0(-0.49%),12.1,2.24,20.3,15.39,5285.T
5721,エス・サイエンス,東S,25,+0.0(+0.00%),8.31,1.18,15.1,13.51,5721.T
5843,ニッポンインシュア,東S,1515,+2.0(+0.13%),15.04,2.14,18.2,11.98,5843.T
5903,シンポ,東S,1247,+15.0(+1.22%),10.68,1.04,10.1,12.85,5903.T
6061,ユニバーサル園芸社,東S,3780,-60.0(-1.56%),10.85,1.46,14.5,22.02,6061.T
6248,横田製作所,東S,1462,-12.0(-0.81%),10.01,1.01,10.4,15.34,6248.T
6269,三井海洋開発,東P,4015,-55.0(-1.35%),8.3,1.55,20.3,17.11,6269.T
6420,フクシマガリレイ,東P,2693,-53.0(-1.93%),8.75,1.16,14.3,10.3,6420.T
6489,前澤工業,東S,1307,-3.0(-0.23%),6.65,0.84,13.4,12.8,6489.T
6776,天昇電気工業,東S,265,-10.0(-3.64%),4.75,0.49,11.1,12.58,6776.T
6822,大井電気,東S,2400,-27.0(-1.11%),4.11,0.49,13.3,22.64,6822.T
7039,ブリッジインターナショナル,東G,1714,-32.0(-1.83%),9.39,1.41,15.5,22.72,7039.T
7079,ＷＤＢココ,東G,3510,-15.0(-0.43%),9.83,2.37,26.9,12.9,7079.T
7080,スポーツフィールド,東G,613,-11.0(-1.76%),7.55,2.54,37.8,12.49,7080.T
7091,リビングプラットフォーム,東G,1015,-1.0(-0.10%),23.85,2.72,12.2,21.68,7091.T
7130,ヤマエグループＨＬＤＧ,東P,2287,+27.0(+1.19%),6.59,0.7,10.9,21.21,7130.T
7419,ノジマ,東P,2484,+39.0(+1.60%),12.2,1.38,12.1,21.58,7419.T
7500,西川計測,東S,8180,+0.0(+0.00%),10.94,1.51,15.1,14.08,7500.T
7804,ビーアンドピー,東S,1988,+28.0(+1.43%),11.61,1.33,11.9,11.4,7804.T
7956,ピジョン,東P,1584.0,-16.5(-1.03%),22.63,2.33,10.5,10.28,7956.T
8023,大興電子通信,東S,901,-18.0(-1.96%),6.44,1.0,17.1,15.32,8023.T
8115,ムーンバット,東S,989,-10.0(-1.00%),8.29,0.89,11.3,10.74,8115.T
8737,あかつき本社,東S,511,-3.0(-0.58%),6.17,0.97,16.7,18.67,8737.T
8739,スパークス・グループ,東P,1556,-5.0(-0.32%),9.5,1.96,22.7,23.5,8739.T
8928,穴吹興産,東S,2078,-13.0(-0.62%),4.58,0.55,12.7,18.15,8928.T
8996,ハウスフリーダム,東S,809,-1.0(-0.12%),6.61,0.92,14.7,22.91,8996.T
9006,京浜急行電鉄,東P,1470.0,+2.0(+0.14%),4.83,1.14,26.7,10.92,9006.T
9145,ビーイングＨＬＤＧ,東S,2515,-65.0(-2.52%),10.94,2.13,21.1,14.69,9145.T
9211,エフ・コード,東G,1571,-13.0(-0.82%),20.16,2.86,30.8,106.72,9211.T
9225,ブリッジコンサルティンググルー,東G,1159,-24.0(-2.03%),13.84,2.24,16.0,21.94,9225.T
9262,シルバーライフ,東S,749,-17.0(-2.22%),12.16,1.27,10.8,10.5,9262.T
9467,アルファポリス,東G,1141,-34.0(-2.89%),23.63,2.84,12.8,11.26,9467.T
9701,東京會舘,東S,4000,+5.0(+0.13%),8.7,1.39,17.9,15.51,9701.T
9823,マミーマート,東S,4500,+110.0(+2.51%),9.5,1.19,13.2,10.83,9823.T
